record_name,quality_score,mean_rr,std_rr,rmssd,cv_rr,pnn50,tri_index,heart_rate,peak_amplitude_mean,peak_amplitude_std,peak_amplitude_cv,mean_rise_time,mean_fall_time,rise_fall_ratio,total_power,vlf_power,lf_power,hf_power,lf_hf_ratio,peak_frequency,spectral_entropy,mean,std,variance,skewness,kurtosis,min_val,max_val,range_val,iqr,energy,zero_crossing_rate,signal_entropy,pulse_width_mean,pulse_width_std,systolic_area,diastolic_area,area_ratio,amplitude_ratio,slope_mean,slope_std
a103l,0.9973065893979987,0.503236641221374,0.15083273340552175,0.15212605428208972,0.2997252605443139,12.232415902140673,1.240530303030303,119.2282021721983,0.6390709156340962,0.0360165005377839,0.05635759609252091,0.16751070336391438,0.33577981651376143,0.49887067395264123,0.002711665724832022,0,0,0,0,1.953125,2.2552549450565884,0.5583400802872164,0.05622546125689866,0.0031613024935510125,-0.08743601707785188,7.3654237187339255,0.0,1.0,1.0,0.06502384797600091,25979.65818926661,0.016666666666666666,-112.3074007176127,0.5032966360856269,0.15094019540226009,46.18137626439901,22.928005789160583,2.0141907102112757,1.2777574216117313,5.56706047044121e-07,0.0031359352484848454
a104s,0.9958462940354109,0.6315780590717299,0.3270011923093863,0.3555091278120953,0.5177526160265931,38.266384778012686,1.5339805825242718,107.26865193723984,0.4481233188255113,0.04910302982808431,0.10957481515753005,0.24229175475687106,0.3892093023255813,0.6225230314618462,0.002027652871180176,0,0,0,0,1.953125,2.2390221025981845,0.3853299620231092,0.04744704940470072,0.002251222497212111,1.1489581509559237,16.844946339090438,0.0,1.0,1.0,0.05361908634458834,11304.780159745715,0.015813333333333332,-127.54591100117283,0.630723044397463,0.32681696592321513,37.093026359108684,22.87354143438607,1.6216564656308152,1.3983426630903746,-4.2579526473549304e-07,0.0026957180318051906
a105l,0.9965483922391698,0.5194574132492114,0.2553240452056674,0.28284289120613443,0.49152064961131836,13.428120063191153,1.1221238938053097,115.68732236985934,0.7154971195321012,0.05382762012843222,0.07523107872695946,0.23919115323854662,0.2805876777251185,0.8524649235412022,0.008590469794957515,0,0,0,0,1.953125,1.9851376107132939,0.5647018588551592,0.09556666163299171,0.00913298681567473,0.38593305024998564,0.019057120650027848,0.0,1.0,1.0,0.1456343991495479,27061.747037337114,0.016206060606060606,-73.7159501026073,0.5195387045813586,0.2555174451454878,39.54064818205578,32.63618195446683,1.2115586387249813,1.561155874168849,-1.2829175163934132e-06,0.0055422504281835115
a123l,0.9900186054531435,1.1080942760942762,0.6117275789456101,0.8434626187266329,0.5520537305740623,66.21621621621621,4.242857142857143,83.31712771646652,0.630905633612478,0.08835448711757456,0.14004390262243982,0.5264864864864864,0.5821756756756757,0.9043429818249342,0.009035348324997682,0,0,0,0,1.953125,2.1263015505533303,0.47451710364575417,0.09848095405250101,0.009698498311090816,0.22589121558946168,0.8363246464947824,0.0,1.0,1.0,0.11339889228396766,19376.360846984313,0.017018181818181818,-67.35711313037417,1.1094054054054054,0.6123432820778854,68.84199377411755,61.81889795161528,1.1136075869208764,2.0577050660405654,2.0358202377573797e-06,0.0056972342490439415
a134s,0.9902793320770521,0.7322249388753057,0.13913061624102552,0.17370213404719304,0.19001075879050164,27.450980392156865,2.9214285714285713,84.94724188593561,0.5308634264966365,0.057443136476212214,0.10820699563972724,0.23638235294117652,0.4953137254901961,0.47723763904833544,0.007316766133147703,0,0,0,0,0.9765625,1.8841911301456873,0.4144131213862838,0.08393293706611231,0.00704473792454397,0.13174702608290884,1.60765662358794,0.0,1.0,1.0,0.12038155403330852,13408.722982625008,0.0118,-79.20422948275315,0.7323235294117646,0.13928674484495657,50.736348495934436,24.307354961150732,2.0872838108800877,1.960304603252148,-3.943090588738957e-07,0.0037623803826039004
a142s,0.9455611975167089,1.3091607142857142,1.43660100182919,1.8263360463671765,1.097345028882117,86.54708520179372,1.9145299145299146,67.72332328509268,0.601741836635786,0.07097896928441386,0.11795584910838605,0.7128968609865474,0.5942600896860987,1.1996377905221858,0.0017843175270515527,0,0,0,0,0.9765625,2.556553989864324,0.529931923738192,0.0438579632203621,0.001923520937838635,0.4512653131169895,17.510153239259644,0.0,1.0,1.0,0.02785446706964867,21206.35235510247,0.017733333333333334,-146.06627465945576,1.3086636771300448,1.439799260073588,78.07355933549603,94.25379276040596,0.8283333439310705,1.3153046857659727,6.672353584824598e-08,0.003075487273896004
a145l,0.9825862617629344,1.1104107744107745,0.38265456763649164,0.5133390955567548,0.3446063172788849,74.32432432432432,4.569230769230769,81.68785173685232,0.6337191755047757,0.09640335319685521,0.15212314369384064,0.5782702702702703,0.5328513513513513,1.0852375034871042,0.010384026904892105,0,0,0,0,0.9765625,1.9923356568590098,0.45706052165659466,0.11288445446650272,0.012742900060199926,0.2794487776328809,0.9031728763104394,0.0,1.0,1.0,0.13646700228511677,18285.895692668862,0.013260606060606061,-56.10613109506017,1.110027027027027,0.38324334140203825,60.85383316936924,65.05118897272837,0.9354761093573193,2.5545392859348643,4.5678728783634086e-07,0.004740323816083543
a152s,0.9762079648670077,0.615687885010267,0.20022845554952617,0.23130120387404007,0.3252109720271452,41.76954732510288,2.375609756097561,100.05336179295622,0.7311028590859241,0.047044513515619266,0.06434732531950102,0.2245020576131688,0.39139094650205764,0.5736005383353663,0.02542854103176009,0,0,0,0,1.953125,1.90121787673883,0.5184499732046287,0.16051739717441885,0.025765834795650124,-0.03815401730346543,-1.0217138385521392,0.0,1.0,1.0,0.2819581569927501,22091.715713364778,0.013946666666666666,-40.35627756035508,0.6157037037037036,0.2004340420502965,49.106917526401105,29.660709997685473,1.6556217814768266,2.9000973571685194,-5.374304615762572e-07,0.008378617263567235
a161l,0.9734753902364738,1.1787813620071685,0.4672893605279934,0.44160439993637457,0.3964173302946672,11.151079136690647,1.508108108108108,51.44733641449769,0.8115717779721906,0.09282525142791025,0.11437713083104648,0.2890647482014389,0.8674100719424461,0.3332503939620138,0.04261353948527434,0,0,0,0,0.9765625,1.5850592502778156,0.4253012698306787,0.22458734621412785,0.05043947607950453,0.29405193754864734,-0.8789352424948209,0.0,1.0,1.0,0.35773612689818035,19083.953311425113,0.007478787878787879,-13.364962958401811,1.1789928057553958,0.46811573149995633,89.6596073349607,34.788916971041765,2.5772462939658474,10.890369480483082,-3.7782780643690285e-06,0.006868112202659934
a163l,0.9908256461602174,0.8399387755102041,0.07437354921603796,0.09661207265720058,0.08854639336166047,21.22762148337596,3.0153846153846153,72.34492309935125,0.7554481003579098,0.07288087308004713,0.09647369957713609,0.22956521739130437,0.6104245524296675,0.3760746786438519,0.033755690894576494,0,0,0,0,0.9765625,1.8796758192251801,0.4515520914461946,0.17946419834091684,0.03220739848614794,0.2573038208279612,-0.6869521850806044,0.0,1.0,1.0,0.2684933164781532,19478.801906485383,0.01033939393939394,-25.8670755914719,0.839989769820972,0.07446175075171786,67.47150784811531,26.341659985771628,2.56139923923943,6.413073787268652,-1.1528468186395577e-06,0.007571353441786711
